item_key,name,qty,category,notes,source,target_url,custom_label,custom_url
m3-nylon-standoffs,M3 Nylon Standoffs,4,Assortment Boxes,PCB mounting,amazon,,,
socket-button-head-screw,Socket Button Head Screw,1,Assortment Boxes,M2-M3 x 2510pcs,amazon,,,
socket-head-cap-screw,Socket head cap Screw,1,Assortment Boxes,2500pcs M2M2.5M3,amazon,,,
socket-head-cap-screw-2,Socket head cap Screw,1,Assortment Boxes,1410pcs M3M4M5,amazon,,,
countersunk-socket-head-cap-screw,Countersunk Socket Head Cap Screw,1,Assortment Boxes,"3045pcs - M2, M3, M4, M5, M6, M8",amazon,,,
heat-insert-with-press,Heat Insert (with press),1,Assortment Boxes,1040pcs - M2-M4,amazon,,,
heat-inserts,Heat Inserts,1,Assortment Boxes,1400pcs - M2-M4,amazon,,,
lock-nut,Lock Nut,1,Assortment Boxes,"230pcs M3,M4,M5,M6,M8",amazon,,,
custom-pcb,Custom PCB,1,Electrical Components,2-layer PCB (Order with assembly!),other,,Order PCB HERE,https://www.pcbway.com/project/shareproject/HexaPod_PCB_70d645d7.html
stm32h750vbt6-core-board,STM32H750VBT6 Core Board,1,Electrical Components,Alternative to WeAct Studio - Note: QSPI Flash (at least 8MB / 64Mbit),amazon,,,
weact-studio-stm32h750,WeAct Studio STM32H750,1,Electrical Components,Official main card (expensive),other,,,
lx-224-serial-bus-servo-motor,LX-224 Serial Bus Servo Motor,18,Electrical Components,20kg·cm torque minimum,amazon,,,
imu-gyroscope-module,IMU/Gyroscope Module,1,Electrical Components,"6-axis (3-axis gyro + 3-axis accelerometer), I2C, DMP, 3.3V-5V",amazon,,,
spektrum-dx6e-transmitter,Spektrum DX6e Transmitter,1,Electrical Components,Spektrum DX6e,amazon,,,
remote-reciever,Remote Reciever,1,Electrical Components,Frsky X8R,amazon,,,
lipo-battery-7-4v-5200mah,LiPo Battery 7.4v 5200mAh,1,Electrical Components,"2S LiPo, high discharge rate for RC models",amazon,,,
5v-ldo,5v LDO,1,Electrical Components,"78D05AL-TN3-R - For 5V components (receiver, etc.)",amazon,,,
3-3v-voltage-regulator,3.3v Voltage Regulator,1,Electrical Components,3.3v LDO for MCU power supply,amazon,,,
misc,Misc,1,Electrical Components,,other,,,
ferrules,Ferrules,1,Electrical Components,"Optional, if used need approx 20 across robot",amazon,,,
capacitor-1uf,Capacitor 1uF,2,Electrical Components,Input/output filtering for LDO,amazon,,,
10k-resistor,10kΩ Resistor,1,Electrical Components,CRGCQ0805F10K,amazon,,,
heat-shrink,Heat Shrink,1,Electrical Components,"Only small amount required, for covering exposed solid-core wires",amazon,,,
power-delivery-wire,Power Delivery Wire,1,Electrical Components,"Minimum 12AWG, for wires expected to carry current above 2A and/or voltage above 5V",amazon,,,
connection-wire,Connection Wire,1,Electrical Components,"19-30AWG, recommend solid core, used for all other wires",amazon,,,
pc-asa-abs-petg-filament,PC / ASA / ABS / PETG Filament,1,Filament,,amazon,,,
pc-cf-petg-cf-pa-cf-abs-engineering-grade-filaments,PC-CF / PETG-CF / PA-CF / ABS+ (Engineering Grade Filaments),1,Filament,,amazon,,,
pla,PLA,1,Filament,,amazon,,,
tpu,TPU,1,Filament,,amazon,,,
multimeter-fluke,Multimeter - Fluke,1,Tools,(Recommended),amazon,,,
soldering-iron-ts101,Soldering Iron TS101,1,Tools,(Recommended),amazon,,,
heat-inset-tip-kit-for-ts101,Heat Inset Tip Kit - For TS101,1,Tools,(Recommended),amazon,,,
electric-precision-screwdriver,Electric Precision Screwdriver,1,Tools,(Recommended),amazon,,,
allen-key-set,Allen Key Set,1,Tools,(Recommended),amazon,,,
torx-key-set,Torx Key Set,1,Tools,(Recommended),amazon,,,
torque-screwdriver,Torque Screwdriver,1,Tools,(Recommended),amazon,,,
wire-stripper,Wire stripper,1,Tools,(Recommended),amazon,,,
wire-cutter,Wire cutter,1,Tools,(Recommended),amazon,,,
heat-insert-press-tool,Heat Insert Press Tool,1,Tools,(Recommended),amazon,,,
crimp-tool,Crimp Tool,1,Tools,(Recommended),amazon,,,
soldering-iron-generic-alternative,Soldering Iron - Generic  (Alternative),1,Tools,Budget friendly alternative,amazon,,,
heat-insert-tip-set-alternative,Heat insert tip - set   (Alternative),1,Tools,Budget friendly alternative,amazon,,,
precision-screwdriver-set,Precision Screwdriver Set,1,Tools,Budget friendly alternative,amazon,,,
